"Site Service: Site Service Name","Job Name","ProvSite: Opportunity Name","Job: Account Name","Actual Square Footage","ProvSite: Opp: Close Date","Job: Target Go-Live Date (Meter)","Job: Opportunity: Opportunity Record Type","Job: Opportunity: Opportunity Owner","OL: Full Address","Job: Job Status","Job: Job Type","Job: Job Owner","Job: Opp: Product Type","Job: Network Live?","Actual Go-Live Date","18char Job ID","Site Service: ID","Cellular + Connect Only"
"SS-16553","JOB-02043","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4446","10/30/2025","8/31/2026","New","Jared Campbell","1402 East Houston Street, -, Beeville, TX 78102 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znklMAA","a0OVs00000E1Q8T","0"
"SS-16554","JOB-02044","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","2164","10/30/2025","8/31/2026","New","Jared Campbell","791 FM1103, suite 125, Cibolo, TX 78108 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkmMAA","a0OVs00000E1Q8U","0"
"SS-16555","JOB-02046","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","3650","10/30/2025","8/31/2026","New","Jared Campbell","3304 Alma Drive, -, Plano, TX 75023 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkoMAA","a0OVs00000E1Q8V","0"
"SS-16557","JOB-02048","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4000","10/30/2025","8/31/2026","New","Jared Campbell","1920 West Eldorado Parkway, Suite 100, McKinney, TX 75069 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkqMAA","a0OVs00000E1Q8X","0"
"SS-16558","JOB-02049","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","3000","10/30/2025","8/31/2026","New","Jared Campbell","46 E 15th Street, -, Edmond, OK 73013 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkrMAA","a0OVs00000E1Q8Y","0"
"SS-16559","JOB-02050","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","10698","10/30/2025","8/31/2026","New","Jared Campbell","108 Twin Fountains Drive, -, Victoria, TX 77904 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znksMAA","a0OVs00000E1Q8Z","0"
"SS-16561","JOB-02051","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","3754","10/30/2025","8/31/2026","New","Jared Campbell","6350 Mockingbird Lane, -, Dallas, TX 75214 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znktMAA","a0OVs00000E1Q8b","0"
"SS-16563","JOB-02053","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","3795","10/30/2025","8/31/2026","New","Jared Campbell","3280 Washtenaw Avenue, -, Ann Arbor, MI 48104 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkvMAA","a0OVs00000E1Q8d","0"
"SS-16564","JOB-02054","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4040","10/30/2025","8/31/2026","New","Jared Campbell","1104 Rayford Drive, Suite 500, Spring, TX 77380 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkwMAA","a0OVs00000E1Q8e","0"
"SS-16565","JOB-02055","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4083","10/30/2025","8/31/2026","New","Jared Campbell","6238 E Pima St, -, Tucson, AZ 85712 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkxMAA","a0OVs00000E1Q8f","0"
"SS-16567","JOB-02057","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4044","10/30/2025","8/31/2026","New","Jared Campbell","642 Uptown Blvd, Suite 100, Cedar Hill, TX 75104 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znkzMAA","a0OVs00000E1Q8h","0"
"SS-16568","JOB-02058","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4050","10/30/2025","8/31/2026","New","Jared Campbell","5302 N Garland Ave, Suite 100, Garland, TX 75040 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znl0MAA","a0OVs00000E1Q8i","0"
"SS-16569","JOB-02059","NextCare Inc. (Avant/Core Loop) - Network Premium","NextCare","4050","10/30/2025","8/31/2026","New","Jared Campbell","4122 LBJ Fwy, Suite 130, Dallas, TX 75244 US","On hold","Swap","Koosha Seyvani","Network; ","0","","a0RVs000005znl1MAA","a0OVs00000E1Q8j","0"
